6.8598e+05,8.3503e+06,7.8513e+06,8.3854e+06,8.8768e+06
3.6354e+06,5.0751e+07,4.6843e+07,5.2384e+07,6.3723e+07
1.2001e+08,1.8406e+09,1.9398e+09,1.8936e+09,1.6973e+09
2.9036e+06,3.0023e+07,2.7606e+07,2.7934e+07,2.7386e+07
3.0192e+05,1.4429e+07,2.1491e+07,1.4399e+07,1.3987e+07
2.0844e+06,2.0923e+07,1.981e+07,1.6234e+07,1.4963e+07
1.2006e+05,3.8032e+06,3.5131e+06,3.6293e+06,3.4053e+06
8.2787e+06,1.0552e+08,3.5852e+08,1.013e+08,9.4919e+07
2.9954e+05,6.4708e+06,6.0649e+06,6.4002e+06,5.6696e+06
36777,1.1235e+07,1.1171e+07,1.1435e+07,1.1118e+07
3.3174e+06,6.0265e+07,5.9724e+07,6.6151e+07,5.4885e+07
2.3476e+06,3.9278e+07,3.7329e+07,4.0128e+07,3.5705e+07
1.2502e+06,3.9842e+07,3.6352e+07,4.7674e+07,3.5421e+07
1491,2.4917e+07,2.4185e+07,2.573e+07,2.4972e+07
3.9383e+07,3.8978e+08,3.7548e+08,3.8602e+08,3.5486e+08
4.1674e+05,1.6357e+07,1.5368e+07,2.0086e+07,1.4508e+07
2.8925e+06,7.2246e+07,7.0934e+07,7.771e+07,6.6493e+07
1.3068e+07,1.1543e+08,1.0865e+08,1.2067e+08,1.0637e+08
2.9155e+06,8.0397e+07,2.8745e+08,8.0693e+07,6.7402e+07
4.3893e+06,6.0545e+07,5.3216e+07,5.3585e+07,5.5063e+07
5688,2.7899e+06,2.3655e+06,2.1873e+06,2.1017e+06
67005,1.544e+07,1.6989e+07,1.7067e+07,1.633e+07
2.5605e+05,1.187e+07,1.1013e+07,1.3878e+07,1.0717e+07
2.3742e+06,7.3633e+07,7.0666e+07,9.0531e+07,6.5163e+07
3.2556e+06,4.696e+07,4.5228e+07,5.0299e+07,4.3157e+07
344,3.9036e+06,3.7108e+06,3.7482e+06,3.6572e+06
2.3743e+06,2.2418e+07,2.1772e+07,2.3358e+07,2.0902e+07
2.1566e+05,5.2118e+06,1.0307e+07,3.9309e+06,3.8808e+06
29507,1.9738e+06,2.0342e+06,1.7965e+06,1.7111e+06
4.9018e+05,8.4879e+06,1.0623e+07,8.4156e+06,7.6642e+06
10476,1.8399e+07,1.7857e+07,1.8312e+07,1.7733e+07
4.388e+06,5.5899e+07,6.2151e+07,9.6954e+07,6.877e+07
2.1665e+05,8.6367e+06,7.8135e+06,9.7978e+06,7.5924e+06
6.3911e+07,7.6362e+08,1.4025e+09,8.0201e+08,6.767e+08
6.5205e+06,8.6554e+07,2.325e+08,8.195e+07,7.1239e+07
2.437e+05,6.2537e+06,5.864e+06,6.1428e+06,5.6157e+06
89328,3.1503e+06,2.9265e+06,3.0064e+06,2.7416e+06
5.4167e+05,6.4738e+06,7.3898e+06,6.5036e+06,5.9542e+06
8.4616e+05,9.3716e+06,9.1542e+06,9.4167e+06,8.4198e+06
2.5123e+06,6.3313e+07,6.0911e+07,6.8714e+07,5.6845e+07
1.1114e+05,2.9982e+06,3.5618e+06,2.6488e+06,2.505e+06
4.3878e+06,8.188e+07,7.4327e+07,8.8122e+07,7.7869e+07
6.1589e+06,5.8059e+07,6.6197e+07,5.0256e+07,4.5693e+07
1639,4.9412e+07,5.0157e+07,5.0584e+07,4.9407e+07
1.4489e+07,3.6877e+08,3.7563e+08,3.9438e+08,3.3556e+08
5.2273e+05,7.0985e+06,7.5159e+06,7.2265e+06,6.4517e+06
1.6494e+06,2.4255e+07,6.6735e+07,2.4809e+07,2.1571e+07
4.8077e+06,4.3449e+07,3.9919e+07,4.5439e+07,3.9898e+07
1.5038e+06,5.5575e+07,5.6135e+07,7.6187e+07,6.4206e+07
335,3.3063e+06,3.1499e+06,3.1764e+06,3.1036e+06
24275,2.3237e+07,2.2777e+07,2.3398e+07,2.2753e+07
2.0771e+06,3.1869e+07,2.9171e+07,3.2431e+07,2.9544e+07
1.0286e+06,1.9704e+07,3.9788e+07,2.0889e+07,1.8693e+07
5.5974e+05,3.0036e+07,2.8853e+07,3.076e+07,2.8225e+07
2.0686e+06,2.6573e+07,5.4009e+07,2.8187e+07,2.4246e+07
1.2992e+05,5.7164e+06,5.2405e+06,6.4269e+06,5.0176e+06
1.0504e+08,3.3983e+09,3.3127e+09,3.5011e+09,2.6516e+09
1.928e+06,2.2963e+07,3.9586e+07,2.3728e+07,2.0711e+07
5.4634e+05,1.485e+07,1.4309e+07,1.5794e+07,1.3613e+07
1.7764e+07,2.7064e+08,3.1921e+08,2.9248e+08,2.5628e+08
6651,5.2279e+07,5.3231e+07,5.3597e+07,5.22e+07
32047,2.0515e+06,1.9576e+06,1.8015e+06,1.7282e+06
1.0906e+05,7.558e+06,8.2001e+06,8.1114e+06,9.1461e+06
358,3.6334e+07,3.6096e+07,3.6927e+07,3.5946e+07
1.0463e+05,4.0071e+06,3.7815e+06,4.3472e+06,3.7127e+06
300,1.7951e+07,1.7371e+07,1.843e+07,1.793e+07
91090,3.3799e+06,3.3602e+06,3.2808e+06,3.001e+06
5.5032e+08,4.8084e+09,6.49e+09,4.6774e+09,4.3184e+09
2.751e+05,7.4317e+06,1.0989e+07,7.4304e+06,7.0449e+06
210,3.8729e+07,3.843e+07,3.8193e+07,3.7742e+07
1.1732e+05,4.7715e+06,3.7847e+06,4.2146e+06,3.6713e+06
8.4592e+05,9.7588e+06,1.9472e+07,9.8974e+06,8.8172e+06
1.2986e+06,1.3201e+07,1.289e+07,1.3507e+07,1.2145e+07
1.2341e+06,1.7097e+07,3.7606e+07,1.7602e+07,1.5329e+07
9.1257e+06,1.309e+08,1.2692e+08,1.3367e+08,1.1998e+08
3.782e+06,3.9953e+07,8.6977e+07,4.0456e+07,3.7162e+07
32015,2.2497e+06,2.0171e+06,1.9994e+06,1.9202e+06
6.6787e+06,6.2556e+07,5.7472e+07,6.204e+07,5.7547e+07
1.4025e+06,2.9327e+07,3.172e+07,3.1235e+07,2.6959e+07
2238,8.6561e+06,8.377e+06,8.7817e+06,8.5622e+06
1.3202e+05,5.8895e+07,6.1188e+07,6.0508e+07,5.8852e+07
23202,2.2181e+06,2.0358e+06,2.0324e+06,1.9479e+06
5.0504e+06,5.4646e+07,8.7889e+07,5.9684e+07,5.3658e+07
3.7855e+06,3.8808e+07,3.5334e+07,3.9803e+07,3.5552e+07
1.4717e+06,4.05e+07,3.8945e+07,4.3119e+07,3.683e+07
1.8869e+06,2.0246e+07,1.8757e+07,1.8941e+07,1.8406e+07
5.1051e+05,6.9381e+06,6.3115e+06,6.2441e+06,6.0577e+06
2.3098e+05,6.7617e+06,5.6894e+06,5.8564e+06,5.7655e+06
7.0563e+07,5.6441e+08,7.1646e+08,5.1427e+08,5.0282e+08
19715,3.4523e+06,3.5433e+06,3.5614e+06,3.1444e+06
1328,2.652e+07,2.584e+07,2.7176e+07,2.6357e+07
1.4082e+06,5.4141e+07,5.2633e+07,6.823e+07,4.8938e+07
19744,1.9525e+06,1.7718e+06,1.7617e+06,1.6957e+06
5.7623e+06,1.5004e+08,1.4624e+08,1.4946e+08,1.2884e+08
1.4838e+05,5.4415e+06,5.5656e+06,5.5298e+06,4.49e+06
9.3957e+06,1.0546e+08,1.0094e+08,1.0134e+08,9.5578e+07
2.0834e+05,7.4825e+06,6.9387e+06,8.4727e+06,6.781e+06
2.0534e+06,3.0324e+07,2.7854e+07,3.2383e+07,2.5842e+07
1.7266e+06,3.2502e+07,2.965e+07,3.2955e+07,2.9379e+07
1.675e+06,4.0701e+07,4.0151e+07,4.3406e+07,3.6354e+07
