2.0923e+05,9.1574e+06,8.8976e+06,8.2589e+06,8.5082e+06,8.1546e+06
1.259e+06,5.9706e+07,6.888e+07,5.6212e+07,5.573e+07,5.5241e+07
13047,2.3699e+06,2.3988e+06,2.3216e+06,2.1169e+06,2.0291e+06
59288,8.6088e+06,7.1569e+06,4.8419e+06,4.5358e+06,4.457e+06
4.116e+05,1.8537e+07,1.898e+07,1.765e+07,1.8069e+07,1.6784e+07
41896,5.9227e+06,4.9132e+06,4.2255e+06,3.9248e+06,4.0877e+06
1.2031e+06,4.0798e+07,4.1651e+07,4.4451e+07,4.5989e+07,4.4191e+07
6.9904e+05,3.0084e+07,3.0887e+07,2.865e+07,2.999e+07,6.6941e+07
2.3698e+06,1.1172e+08,3.1086e+08,1.0006e+08,1.2884e+08,1.2603e+08
54452,4.2305e+06,4.0368e+06,4.0579e+06,3.8325e+06,3.7191e+06
37960,3.6652e+06,3.4734e+06,3.4703e+06,3.5579e+06,3.2952e+06
1.0857e+06,4.3416e+07,4.226e+07,3.8456e+07,3.9815e+07,3.863e+07
1.1238e+05,5.7643e+06,5.4276e+06,5.0831e+06,5.1528e+06,5.9068e+06
1.2122e+06,4.8015e+07,4.7894e+07,4.6397e+07,4.7792e+07,4.3342e+07
98121,5.5303e+06,5.4708e+06,5.1353e+06,5.1814e+06,4.9431e+06
29231,2.8048e+06,2.5577e+06,2.8742e+06,2.4805e+06,2.3437e+06
2.0424e+05,8.3421e+06,7.6812e+06,8.831e+06,8.8975e+06,8.7899e+06
38296,3.7765e+06,4.0524e+06,3.4413e+06,3.2478e+06,3.1339e+06
1.5408e+05,2.0554e+07,1.3248e+07,1.1583e+07,1.1251e+07,1.0446e+07
2.3698e+06,1.0938e+08,1.2797e+08,9.6901e+07,1.0173e+08,9.7275e+07
9.6878e+05,4.5311e+07,6.4336e+07,4.3125e+07,4.3788e+07,4.0694e+07
1.1366e+06,7.4123e+07,7.6401e+07,7.0509e+07,7.2804e+07,8.9153e+07
5.0766e+05,2.6996e+07,4.2564e+07,2.4525e+07,2.4833e+07,2.531e+07
9306,2.0858e+06,1.8886e+06,1.9263e+06,1.8241e+06,1.7867e+06
2.1964e+05,9.9423e+06,9.9122e+06,9.2099e+06,9.3537e+06,8.9198e+06
52587,4.8694e+06,5.0985e+06,4.5625e+06,4.4405e+06,4.2691e+06
89592,5.6142e+06,5.2895e+06,5.0026e+06,4.5118e+06,4.3789e+06
1.3013e+06,5.0035e+07,5.1187e+07,4.5124e+07,4.7948e+07,4.4712e+07
9.6878e+05,4.1934e+07,8.8353e+07,4.022e+07,4.0914e+07,4.6192e+07
34380,2.8911e+06,2.6643e+06,2.9306e+06,2.6348e+06,2.487e+06
1.1065e+05,9.6074e+06,9.2097e+06,1.1553e+07,1.1759e+07,1.1491e+07
1.895e+06,9.7149e+07,1.0295e+08,1.2377e+08,1.1983e+08,1.1917e+08
1.1387e+06,4.2626e+07,4.1898e+07,4.6906e+07,4.8314e+07,4.6693e+07
15895,2.4295e+06,2.712e+06,2.4219e+06,2.2277e+06,2.1149e+06
17427,3.1571e+06,5.6735e+06,3.2352e+06,2.9494e+06,2.8843e+06
4.877e+05,1.8123e+07,1.6547e+07,2.0356e+07,1.9576e+07,1.991e+07
4.597e+05,1.7149e+07,1.5835e+07,1.9277e+07,1.8183e+07,1.8502e+07
77767,5.0961e+06,5.3324e+06,4.7347e+06,4.6467e+06,4.5694e+06
1.313e+05,7.98e+06,7.7953e+06,7.4363e+06,7.4671e+06,7.2233e+06
16431,2.525e+06,2.3068e+06,2.5526e+06,2.3779e+06,2.3576e+06
2.9992e+05,1.512e+07,2.2128e+07,1.4627e+07,1.4585e+07,1.6141e+07
8.6991e+05,6.0783e+07,6.0244e+07,5.6355e+07,6.1679e+07,3.4789e+07
2.6264e+05,1.093e+07,1.0545e+07,9.7597e+06,1.0133e+07,9.6141e+06
